Gene Name	Mutation Count	Associated Phenotypes
B1351	5	paraquat:Resistant;bleomycin:Sensitive;ethidium bromide:Sensitive;spiramycin:Resistant;thiolactomycin:Resistant;cccp:Resistant;mecillinam:Sensitive;puromycin:Sensitive;decanoic acid:Sensitive;streptonigrin:Sensitive;nalidixic acid:Sensitive;chir-090:Resistant;a22:Sensitive;uv radiation:Sensitive;clarythromycin:Sensitive;cecropin b:Resistant;ciprofloxacin:Sensitive;growth:Resistant;egcg:Sensitive;isoniazid:Resistant;chloramphenicol:Sensitive;acid:Sensitive;itaconate:Sensitive;etda:Sensitive;cholate:Resistant;novobiocin:Sensitive;furfural:Sensitive;mecillinam:Resistant;sds:Sensitive;piperacillin:Resistant;streptonigrin:Resistant
B1352	6	growth:Resistant;actinomycin d:Sensitive;sodium chloride:Resistant;fucose:Sensitive;luria-bertani broth:Sensitive;potassium ion:Resistant;trimethoprim:Sensitive;norfloxacin:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;mecillinam:Sensitive;mops:Sensitive
B1353	2	growth:Resistant;nigericin:Sensitive
B1355	6	growth:Resistant;cefoxitin:Resistant;methotrexate:Sensitive;alkaline:Resistant;sodium chloride:Resistant;cisplatin:Sensitive;fucose:Sensitive;furfural:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;egcg:Resistant
B1356	4	growth:Resistant;heat:Resistant;n-butanol:Resistant;fucose:Sensitive
B1357	3	growth:Resistant;methyl methanesulfonate:Sensitive;polymixin b:Sensitive;acid:Sensitive
B1358	3	glufosfomycin:Sensitive;doxycycline:Sensitive;uv radiation:Sensitive;ceftazidime:Sensitive;fucose:Sensitive;norfloxacin:Sensitive;cefsulodin:Sensitive;methyl methanesulfonate:Sensitive;polymixin b:Sensitive;a22:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;egcg:Resistant;ciprofloxacin:Sensitive;chloropromazine:Sensitive;acid:Sensitive
B1359	4	growth:Resistant;glycine utilization:Resistant;gentamicin:Sensitive;novobiocin:Sensitive;deoxycholate:Resistant;fucose:Sensitive;alanine utilization:Resistant;uv radiation:Sensitive;egta:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;levofloxacin:Resistant
B2669	6	growth:Resistant;glycine utilization:Resistant;sulfamonomethoxine:Sensitive;triton x:Resistant;tobramycin:Resistant;indolicidin:Resistant;high pressure:Resistant;fucose:Sensitive;alanine utilization:Resistant;nalidixic acid:Resistant;cold:Sensitive;l-valine:Sensitive;mecillinam:Resistant;aspartate utilization:Resistant
B2668	2	l-valine:Sensitive;epinephrine:Resistant;ethidium bromide:Sensitive;fucose:Sensitive
B2919	3	l-valine:Sensitive;nigericin:Resistant;spiramycin:Sensitive;methylglyoxal:Sensitive;fucose:Sensitive
B2918	2	l-valine:Sensitive;mops:Sensitive;methylglyoxal:Sensitive;fucose:Sensitive
B2917	4	growth:Resistant;isoniazid:Sensitive;ionizing radiation:Resistant
B2916	9	growth:Resistant;l-valine:Sensitive;l-serine:Resistant;methylglyoxal:Sensitive;fucose:Sensitive
B2667	4	growth:Resistant;deoxycholate:Resistant;egcg:Sensitive;fucose:Sensitive;ethanol:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive
B2914	6	verapamil:Sensitive;doxycycline:Sensitive;ampicillin:Sensitive;gentamicin:Resistant;nitrofurantoin:Sensitive;bromoacetate:Sensitive;carbenicillin:Sensitive;cefoxitin:Sensitive;metronidazole:Sensitive;azetreonam:Sensitive;nigericin:Sensitive;trimethoprim:Sensitive;cefsulodin:Sensitive;mecillinam:Sensitive;doxorubicin:Sensitive;polymixin b:Resistant
B2913	6	growth:Resistant;alanine utilization:Resistant;acetate:Sensitive;succinate:Sensitive;glucosamine:Sensitive;glycine utilization:Resistant;gentamicin:Resistant;maltose:Sensitive;ammonia chloride:Sensitive;glucose:Sensitive;bleomycin:Resistant;3-hp:Resistant;ionizing radiation:Resistant;glycerol:Sensitive;n-acetylglucosamine:Sensitive;amikacin:Resistant;iron:Sensitive;ethanol:Resistant
B2912	7	glycine utilization:Resistant;tetracycline:Resistant;azithromycin:Sensitive;ofloxacin:Resistant;trimethoprim:Sensitive;heat:Resistant;methyl methanesulfonate:Resistant;egcg:Resistant;cccp:Sensitive;ethidium bromide:Sensitive;mecillinam:Sensitive;novobiocin:Sensitive;sulfamethoxazole:Sensitive;doxycycline:Resistant;cisplatin:Sensitive;bleomycin:Sensitive;methylglyoxal:Sensitive;uv radiation:Sensitive;sulfamonomethoxine:Sensitive;glufosfomycin:Sensitive;growth:Resistant;amoxicillin:Resistant;cefoxitin:Resistant;azidothymidine:Sensitive;erythromycin:Resistant;fucose:Sensitive;uv radiation:Resistant;taurocholate:Resistant;cholate:Resistant;thiolactomycin:Sensitive;l-valine:Sensitive
B2663	5	growth:Resistant;azetreonam:Sensitive;sodium chloride:Resistant;edta:Sensitive
B2662	3	bicyclomycin:Resistant;taurocholate:Sensitive;alkaline:Resistant;egta:Sensitive;erythromycin:Resistant;fucose:Sensitive;edta:Resistant;copper:Resistant;paraquat:Resistant;l-valine:Sensitive;cholate:Sensitive;ethanol:Sensitive;a22:Sensitive
ECW_M3150	4	sodium chloride:Sensitive
ECB_00859	6	growth:Resistant
ECB_00858	9	growth:Resistant
ECB_T00014	1	growth:Resistant
ECB_00850	1	growth:Resistant
ECB_00853	5	growth:Resistant
ECB_00852	12	growth:Resistant
ECB_00855	8	growth:Resistant
ECB_00854	6	growth:Resistant
ECB_00857	12	growth:Resistant
ECB_00856	12	growth:Resistant
ECB_04169	4	heat:Resistant
ECB_01108	4	growth:Resistant;heat:Resistant
ECB_01109	6	growth:Resistant
ECB_01458	2	growth:Resistant
ECB_01459	6	growth:Resistant
ECB_01104	5	growth:Resistant
ECB_01105	8	growth:Resistant
ECB_01106	6	growth:Resistant;heat:Resistant
ECB_01107	11	growth:Resistant;heat:Resistant
ECB_01100	6	growth:Resistant
ECB_01453	7	growth:Resistant
ECB_01450	5	growth:Resistant
ECB_01103	5	growth:Resistant
B0403	5	doxycycline:Sensitive;tetracycline:Resistant;kanamycin:Resistant;puromycin:Sensitive;taurocholate:Sensitive;chloramphenicol:Sensitive;trimethoprim:Sensitive;ethanol:Resistant;polymixin b:Sensitive;mecillinam:Sensitive
B0402	4	growth:Resistant;doxycycline:Sensitive;tetracycline:Resistant;copper:Sensitive;ampicillin:Resistant;chloramphenicol:Sensitive;trimethoprim:Sensitive
B0401	3	doxycycline:Sensitive;tetracycline:Resistant;succinate:Sensitive;decanoic acid:Sensitive;chloramphenicol:Sensitive;trimethoprim:Sensitive;butyrolactone:Sensitive;taurocholate:Resistant
B0400	3	sodium chloride:Sensitive;nickel chloride:Sensitive;beta-methyl-d-glucuronate:Resistant;alpha-methyl-d-galactoside:Sensitive;methylene diphosphonate:Resistant;sulfathiazole:Sensitive;dibucaine:Sensitive;succinate:Sensitive;lithium chloride:Sensitive;alpha-ketobutyrate:Sensitive;pyocyanin:Sensitive;streptomycin:Sensitive;alanine-leucine:Sensitive;amikacin:Sensitive;leucine-tryptophan:Sensitive;doxycycline:Sensitive;melibionic acid:Resistant;lysine-serine:Resistant;alanine-serine:Resistant;proline-leucine:Sensitive;gallic acid:Sensitive;alpha-hydroxybutyrate:Sensitive;thioridazine:Sensitive;7-dichloro-8-hydroxyquinaldine:Sensitive;gentamicin:Sensitive;d-mannitol:Resistant;myricetin:Sensitive;oxycarboxin:Resistant;trimethoprim:Sensitive;d-glucuronate:Sensitive;cobalt:Sensitive;d-ala-gly-gly:Sensitive;aspartate-leucine:Sensitive;sulfadiazine:Sensitive;l-threonine:Resistant;asparagine utilization:Sensitive;l-aspartate utilization:Sensitive;hydroxylamine:Resistant;tyrosine-phenylalanine:Resistant;tyrosine utilization:Resistant;d-fructose 6-phosphate:Sensitive;5-chloro-7-iodo-8-hydroxyquinoline:Sensitive;beta-amino-n-valerate:Sensitive;homoserine:Sensitive;copper:Sensitive;d-valine:Sensitive;ethylene glycol:Sensitive;sodium nitrite:Sensitive;glycine-tyrosine:Sensitive;pridinol:Resistant;ofloxacin:Sensitive;bromosuccinate:Sensitive;18-crown-6 ether:Sensitive;sulfanilamide:Sensitive;arginine-tyrosine:Sensitive;kanamycin:Sensitive;cephalothin:Resistant;caffeine:Resistant;sulfamethoxazole:Sensitive;hygromycin b:Sensitive;leucine-alanine:Sensitive;glycine-phenylalanine-phenylalanine:Sensitive;phenylalanine-tryptophan:Sensitive;tetracycline:Resistant;glucose:Resistant;cesium chloride:Sensitive;alanine-serine:Sensitive;norfloxacin:Resistant;l-cysteate:Sensitive;potassium chromate:Sensitive;beta-d-allose:Resistant;phosphorus limitation:Sensitive;troleandomycin:Resistant;alkaline amino acid utilization:Sensitive;beta-hydroxypyruvate:Sensitive;sulfachloropyridazine:Resistant;oxacillin:Sensitive;8-hydroxyquinoline:Sensitive;alanine-asparagine:Sensitive;tartrate:Sensitive;novobiocin:Resistant;tryptophan-leucine:Sensitive;l-proline:Sensitive;tobramycin:Sensitive;leucine-glutamate:Sensitive;alhpa-ketoglutarate:Sensitive;glutamate-tryptophan:Sensitive;azetreonam:Resistant;chloramphenicol:Sensitive;glyoxylate:Sensitive;malate:Sensitive;tyrosine-tyrosine:Resistant;d-alanine utilization:Sensitive;methionine-tryptophan:Sensitive;d-alanine-glycine:Sensitive;iodonitrotetrazolium violet:Sensitive;polymixin b:Sensitive;glycine-glycine-leucine:Sensitive;leucine-glycine:Sensitive;tryptophan-tyrosine:Sensitive;putrescine:Sensitive;n-acetyl-d-glucosamine:Resistant;d-fructose:Resistant;glycine-d-alanine:Sensitive;ruthenium red:Sensitive;guanosine:Resistant;dl-alpha-glycerol phosphate:Sensitive;1_10-phenanthroline:Sensitive;methyltrioctylammonium chloride:Sensitive;sodium selenite:Sensitive;cefoxitin:Sensitive;isoleucine-tyrosine:Resistant;methyl methanesulfonate:Sensitive;alkaline:Sensitive;histidine-tryptophan:Sensitive;sodium chloride:Resistant;d-melibiose:Resistant;l-cysteine:Sensitive;spiramycin:Sensitive;d-glucose 6-phosphate:Sensitive;paromomycin:Sensitive;acid:Sensitive;norepinephrine:Sensitive;glycyl-l-aspartate:Sensitive;fumarate:Sensitive;cefamandole:Resistant;glycine-glycine-d-leucine:Sensitive;serine-leucine:Sensitive;tryptophan-tryptophan:Sensitive;tryptophan-phenylalanine:Sensitive;aspartate-phenylalanine:Sensitive;sodium dichromate:Sensitive;sodium tungstate:Sensitive;nitrofurazone:Sensitive
B0407	4	doxycycline:Sensitive;tetracycline:Resistant;kasugamycin:Sensitive;ampicillin:Sensitive;egta:Sensitive;amoxicillin:Sensitive;sodium chloride:Resistant;dibucaine:Sensitive;copper:Sensitive;mecillinam:Sensitive;fucose:Sensitive;chloramphenicol:Sensitive;gentamicin:Sensitive;trimethoprim:Sensitive;alkaline:Sensitive;chloramphenicol:Resistant;methyl methanesulfonate:Resistant;triclosan:Resistant;paraquat:Sensitive
B0406	4	growth:Resistant;sodium chloride:Sensitive;tetracycline:Resistant;ethidium bromide:Sensitive;acriflavine:Sensitive;cisplatin:Sensitive;doxycycline:Sensitive;azidothymidine:Resistant;chloramphenicol:Sensitive;streptomycin:Sensitive;trimethoprim:Sensitive;cccp:Sensitive;benzoate:Resistant
B0405	6	isobutanol:Resistant;tetracycline:Resistant;azithromycin:Sensitive;minocycline:Sensitive;trimethoprim:Sensitive;fosfomycin:Sensitive;methyl methanesulfonate:Sensitive;methylglyoxal:Sensitive;pms:Sensitive;sulfamonomethoxine:Sensitive;growth:Resistant;chir-090:Sensitive;spectinomycin:Sensitive;ethanol:Sensitive;sodium chloride:Resistant;fucose:Sensitive;chloramphenicol:Sensitive;egta:Resistant;propidium iodide:Sensitive;pyocyanin:Sensitive;doxycycline:Sensitive;deoxycholate:Sensitive;mecillinam:Resistant;l-valine:Sensitive;tetracycline:Sensitive
B0404	4	doxycycline:Sensitive;acriflavine:Sensitive;tetracycline:Resistant;nickel:Resistant;bromoacetate:Sensitive;chloramphenicol:Sensitive;trimethoprim:Sensitive
B0409	8	doxycycline:Sensitive;growth:Resistant;tetracycline:Resistant;fucose:Sensitive;chloramphenicol:Sensitive;trimethoprim:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;heat:Resistant;n-butanol:Resistant
B0408	6	doxycycline:Sensitive;tetracycline:Resistant;fucose:Sensitive;chloramphenicol:Sensitive;trimethoprim:Sensitive;methylglyoxal:Sensitive;l-valine:Sensitive;heat:Resistant
ECW_M0686	11	sodium chloride:Sensitive
ECB_02370	10	heat:Resistant
ECB_02371	9	heat:Resistant
ECW_M1221	1	sodium chloride:Sensitive
ECB_02379	9	heat:Resistant
B0745	1	piperacillin:Sensitive;nitrofurantoin:Sensitive;fusidic acid:Sensitive;trimethoprim:Sensitive;streptomycin:Resistant;erythromycin:Sensitive;kanamycin:Resistant;sulfamethoxazole:Sensitive;nalidixic acid:Sensitive;sulfamonomethoxine:Sensitive;amikacin:Resistant;spectinomycin:Resistant;cefoxitin:Sensitive;spiramycin:Sensitive;ampicillin:Resistant;chloramphenicol:Sensitive;lomefloxacin:Sensitive;doxycycline:Sensitive;tobramycin:Resistant;ciprofloxacin:Resistant;clindamycin:Resistant;tetracycline:Sensitive
B0740	5	succinate:Sensitive;azithromycin:Sensitive;vancomycin:Sensitive;alkaline:Resistant;ceftazidime:Sensitive;propidium iodide:Resistant;cholate:Sensitive;cefsulodin:Sensitive;minocycline:Sensitive;trimethoprim:Sensitive;dibucaine:Sensitive;asparagine utilization:Resistant;mecillinam:Sensitive;ampicillin:Sensitive;amoxicillin:Sensitive;glucose:Sensitive;oxacillin:Sensitive;taurocholate:Sensitive;triton x:Sensitive;nitrofurantoin:Sensitive;polymixin b:Resistant;growth:Resistant;bacitracin:Sensitive;cefoxitin:Sensitive;ethanol:Sensitive;copper:Sensitive;egcg:Sensitive;carbenicillin:Sensitive;acid:Sensitive;etda:Sensitive;cefaclor:Sensitive;benzalkonium chloride:Sensitive;pyocyanin:Sensitive;deoxycholate:Sensitive;triclosan:Sensitive;actinomycin d:Sensitive;maltose:Sensitive;egta:Sensitive;alanine utilization:Resistant;edta:Sensitive;sds:Sensitive;l-valine:Sensitive;glycerol:Sensitive;bile:Sensitive
B0741	11	clarythromycin:Resistant;nickel:Resistant;gentamicin:Resistant;vancomycin:Sensitive;alkaline:Resistant;peroxide:Resistant;ceftazidime:Sensitive;cholate:Sensitive;minocycline:Sensitive;dibucaine:Sensitive;cefsulodin:Sensitive;norepinephrine:Resistant;mecillinam:Sensitive;a22:Sensitive;ampicillin:Sensitive;amoxicillin:Sensitive;bromoacetate:Sensitive;nitrofurantoin:Resistant;oxacillin:Sensitive;theophylline:Sensitive;uv radiation:Sensitive;triton x:Sensitive;radicicol:Resistant;polymixin b:Resistant;growth:Resistant;acetate:Sensitive;bacitracin:Sensitive;cefoxitin:Sensitive;sodium chloride:Resistant;copper:Sensitive;heat:Sensitive;bicyclomycin:Sensitive;rifampicin:Sensitive;carbenicillin:Sensitive;acid:Sensitive;nalidixic acid:Resistant;etda:Sensitive;cefaclor:Sensitive;benzalkonium chloride:Sensitive;tobramycin:Resistant;deoxycholate:Sensitive;actinomycin d:Sensitive;maltose:Sensitive;nickel:Sensitive;alanine utilization:Resistant;verapamil:Resistant;sulfamethoxazole:Resistant;edta:Sensitive;sds:Sensitive;glycerol:Sensitive;bile:Sensitive
B0742	13	growth:Resistant;rifampicin:Sensitive;cefsulodin:Sensitive;ampicillin:Sensitive;cefoxitin:Sensitive;vancomycin:Sensitive;nitrofurantoin:Sensitive;hydroxyurea:Resistant;fucose:Sensitive;alanine utilization:Resistant;chloramphenicol:Sensitive;azetreonam:Sensitive;methylglyoxal:Sensitive;sulfamethoxazole:Sensitive;l-valine:Sensitive;triclosan:Sensitive;mecillinam:Sensitive;isoniazid:Resistant;enoxacin:Sensitive;ciprofloxacin:Sensitive
ECB_03689	15	heat:Resistant
ECB_02482	11	heat:Resistant
ECW_M0496	6	sodium chloride:Sensitive
ECB_03359	11	heat:Resistant
ECB_03358	12	heat:Resistant
ECB_03353	1	heat:Resistant
ECB_03352	9	heat:Resistant
ECB_03351	11	heat:Resistant
ECB_03350	13	heat:Resistant
ECB_03357	13	heat:Resistant
ECB_03356	16	heat:Resistant
ECB_03355	11	heat:Resistant
ECB_03354	11	heat:Resistant
B1435	3	growth:Resistant;decanoic acid:Sensitive;furfural:Sensitive;methylglyoxal:Sensitive;butanediol:Sensitive;l-valine:Sensitive
B1434	6	growth:Resistant;glycine utilization:Resistant;kasugamycin:Sensitive;fucose:Sensitive;alanine utilization:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;heat:Resistant;butanediol:Resistant
B4157	2	growth:Resistant;glycine utilization:Resistant;egta:Resistant
B4156	7	clarythromycin:Resistant;trimethoprim:Sensitive;heat:Resistant;mecillinam:Sensitive;amoxicillin:Sensitive;sulfamethoxazole:Sensitive;alkaline:Sensitive;polymixin b:Resistant;growth:Resistant;acetate:Sensitive;cefoxitin:Resistant;cisplatin:Resistant;colistin:Resistant;nalidixic acid:Resistant;etda:Sensitive;chir-090:Sensitive;dibucaine:Resistant;mecillinam:Resistant;edta:Resistant;epinephrine:Sensitive;sds:Sensitive;nigericin:Resistant;rifampicin:Resistant
B4403	2	levofloxacin:Sensitive;cholate:Resistant;cefsulodin:Resistant;ceftazidime:Resistant;theophylline:Sensitive;nalidixic acid:Sensitive;mecillinam:Resistant;verapamil:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;polymixin b:Resistant
B4150	8	growth:Resistant;amoxicillin:Resistant;ampicillin:Sensitive;amoxicillin:Sensitive;cefoxitin:Sensitive;peroxide:Resistant;cefaclor:Resistant;ampicillin:Resistant;acid:Resistant;ceftriaxone:Resistant;nitrofurantoin:Resistant;cefaclor:Sensitive;norfloxacin:Sensitive;heat:Resistant;mops:Sensitive
B4401	52	isobutanol:Resistant;tetracycline:Resistant;indolicidin:Sensitive;triton x:Resistant;anaerobic:Sensitive;theophylline:Sensitive;peroxide:Resistant;ceftazidime:Sensitive;luria-bertani broth:Sensitive;trimethoprim:Sensitive;egcg:Resistant;mecillinam:Sensitive;chloropromazine:Sensitive;procaine:Resistant;azithromycin:Sensitive;oxidative stress:Resistant;puromycin:Sensitive;dessication:Sensitive;fosfomycin:Sensitive;cefaclor:Resistant;methyl methanesulfonate:Sensitive;nitrofurantoin:Resistant;methylglyoxal:Sensitive;pms:Sensitive;acid:Resistant;glufosfomycin:Sensitive;actinomycin d:Resistant;alkaline:Sensitive;growth:Resistant;novobiocin:Resistant;a22:Resistant;chir-090:Sensitive;erythromycin:Resistant;chloramphenicol:Sensitive;acid:Sensitive;benzalkonium chloride:Sensitive;pyocyanin:Sensitive;taurocholate:Resistant;trimethoprim:Resistant;doxycycline:Sensitive;bacitracin:Resistant;fluoroquinolone:Resistant;streptonigrin:Sensitive;thiolactomycin:Sensitive;hydroxyurea:Resistant;egta:Sensitive;ethanol:Resistant;edta:Sensitive;sds:Sensitive;l-valine:Sensitive;paraquat:Resistant;n-hexane:Resistant;tetracycline:Sensitive;h2o2:Resistant
B4400	5	growth:Resistant;tobramycin:Resistant;spectinomycin:Sensitive;azidothymidine:Sensitive;azithromycin:Sensitive;hydroxyurea:Sensitive;a22:Resistant;peroxide:Resistant;uv radiation:Resistant;cefsulodin:Resistant;heat:Resistant
B1439	4	growth:Resistant;glycine utilization:Resistant;l-valine:Sensitive;fucose:Sensitive;heat:Resistant
B1438	9	sodium chloride:Sensitive;glycine utilization:Resistant;alkaline:Resistant;minocycline:Sensitive;maltose:Resistant;butanediol:Sensitive;asparagine utilization:Resistant;egcg:Resistant;decanoic acid:Sensitive;chir-090:Resistant;phleomycin:Resistant;uv radiation:Resistant;succinate:Resistant;azetreonam:Sensitive;zinc:Resistant;methylglyoxal:Sensitive;polymixin b:Sensitive;growth:Resistant;spectinomycin:Sensitive;norepinephrine:Sensitive;furfural:Sensitive;acid:Sensitive;paraquat:Sensitive;chir-090:Sensitive;silver:Resistant;chloramphenicol:Sensitive;ciprofloxacin:Resistant;hydroxyurea:Resistant;egta:Sensitive;verapamil:Resistant;epinephrine:Sensitive;bile:Sensitive;cold:Sensitive;actinomycin d:Sensitive;l-valine:Sensitive;tetracycline:Sensitive;sulfamethoxazole:Resistant
B4409	8	growth:Resistant;sodium chloride:Sensitive;piperacillin:Sensitive;amikacin:Resistant;ampicillin:Sensitive;cefoxitin:Sensitive;streptonigrin:Sensitive;cephaloridine:Sensitive;peroxide:Resistant;fucose:Sensitive;chloramphenicol:Sensitive;methyl methanesulfonate:Sensitive;cefepime:Sensitive;l-valine:Sensitive;imipenem:Sensitive;acid:Resistant;sds:Resistant;bile:Sensitive;mops:Sensitive
B4408	2	doxorubicin:Resistant;n-butanol:Sensitive;tobramycin:Sensitive;egta:Sensitive;sulfamonomethoxine:Resistant;uv radiation:Resistant;nitrofurantoin:Resistant;etda:Sensitive;sds:Sensitive;puromycin:Resistant;spiramycin:Resistant
ECK0266	1	amikacin:Resistant
2036	1	heat:Resistant
ECB_00622	9	growth:Resistant
ECB_00623	19	growth:Resistant;heat:Resistant
ECB_00620	1	growth:Resistant
ECB_00621	8	growth:Resistant
ECB_00626	9	growth:Resistant
ECB_00627	10	growth:Resistant
ECB_00624	3	growth:Resistant;heat:Resistant
ECB_00625	2	growth:Resistant
ECB_00628	5	growth:Resistant;cold:Resistant
ECB_00629	4	growth:Resistant
ECW_M4465	13	sodium chloride:Resistant
ECW_M2148	5	sodium chloride:Sensitive
JW1421	1	methyl methanesulfonate:Sensitive
ECB_00443	5	heat:Resistant
ECB_01867	2	growth:Resistant
ECB_01866	9	growth:Resistant
ECB_01865	14	growth:Resistant
ECB_01864	7	growth:Resistant
ECB_01863	10	growth:Resistant
ECB_01862	10	growth:Resistant
ECB_01861	5	growth:Resistant
ECB_01860	6	growth:Resistant;heat:Resistant
ECB_01869	4	growth:Resistant
ECB_01868	7	growth:Resistant
B1505	2	growth:Resistant;ethanol:Resistant
B4024	6	growth:Resistant;heat:Resistant;ammonia chloride:Sensitive;tetracycline:Resistant
B4027	4	heat:Resistant;paraquat:Resistant
ECB_00998	6	growth:Resistant
ECB_00999	3	growth:Resistant
B4026	9	ethidium bromide:Resistant;tunicamycin:Resistant;deoxycholate:Resistant;fucose:Sensitive;edta:Resistant;methylglyoxal:Sensitive;l-valine:Sensitive;heat:Resistant;clarythromycin:Sensitive;mops:Sensitive
ECB_00990	5	growth:Resistant
ECB_00991	1	growth:Resistant
ECB_00992	7	growth:Resistant
ECB_00993	5	growth:Resistant
ECB_00994	2	growth:Resistant
ECB_00995	4	growth:Resistant
ECB_00996	5	growth:Resistant;heat:Resistant
B4020	8	growth:Resistant;sodium chloride:Sensitive;doxorubicin:Resistant;thiolactomycin:Sensitive;fucose:Sensitive;l-valine:Sensitive;methylglyoxal:Sensitive;sds:Sensitive;asparagine utilization:Resistant;heat:Resistant;isoniazid:Sensitive
ECB_01719	2	growth:Resistant
ECB_01718	5	growth:Resistant
B4323	5	tobramycin:Resistant;ammonia chloride:Sensitive;actinomycin d:Resistant;cholate:Resistant;fucose:Sensitive;paraquat:Resistant;ionizing radiation:Resistant;l-valine:Sensitive;heat:Resistant;sds:Resistant;chloropromazine:Sensitive;procaine:Resistant
ECB_01711	5	growth:Resistant
ECB_01710	3	growth:Resistant
ECB_01713	6	growth:Resistant
ECB_01712	3	growth:Resistant
ECB_01715	4	growth:Resistant
ECB_01714	8	growth:Resistant
ECB_01717	12	growth:Resistant
ECB_01716	4	growth:Resistant
ECW_M0545	9	sodium chloride:Resistant
B1509	2	sodium chloride:Sensitive;tunicamycin:Sensitive;tetracycline:Resistant;a22:Sensitive;acriflavine:Resistant;acid:Sensitive;chir-090:Resistant;egta:Sensitive;verapamil:Resistant;norfloxacin:Sensitive;phleomycin:Sensitive;streptomycin:Sensitive;epinephrine:Sensitive;nalidixic acid:Resistant;minocycline:Resistant;propidium iodide:Sensitive;puromycin:Resistant;l-serine:Resistant;spiramycin:Resistant;alkaline:Sensitive
B4028	5	tunicamycin:Resistant;copper:Sensitive;fucose:Sensitive;methylglyoxal:Sensitive;sds:Sensitive;l-valine:Sensitive;heat:Resistant
B2496	3	nitrofurantoin:Sensitive;guanazole:Resistant;fucose:Sensitive;chloramphenicol:Sensitive;trimethoprim:Sensitive;l-valine:Sensitive;mecillinam:Sensitive
